userID,Restaurant ID,BILL,RATING
10001,6317637,752,2.325331026
10002,6304287,389,1.65128177
10003,6300002,692,2.556048381
10004,6318506,744,4.346385554
10005,6314302,341,2.733956331
10006,18189371,1088,1.147285956
10007,6300781,869,1.903102644
10008,6301290,299,1.956822198
10009,6300010,756,2.881561392
10010,6314987,504,1.672894155
10011,6309903,925,1.67447226
10012,6309455,408,2.114975673
10013,6318433,368,2.172451423
10014,6310470,528,3.295048054
10015,6314605,498,4.093152975
10016,18185059,219,3.341994555
10017,18182702,597,2.25912885
10018,6318213,239,1.899401568
10019,18255654,668,1.947780502
10020,6308205,925,1.166029966
10021,6315438,810,3.717847342
10022,6310406,1181,2.682299321
10023,6600681,1163,3.317263809
10024,6601005,1139,2.062247549
10025,6600292,1047,4.881627768
10026,6600441,274,3.357202843
10027,6600970,612,1.037420133
10028,6600379,228,1.956469221
10029,6600214,1085,4.737676782
10030,6601218,989,4.689898106
10031,6600060,771,2.192306012
10032,6600083,889,2.160661457
10033,6601515,813,1.113605227
10034,6601361,1133,2.523222519
10035,6601602,794,3.680054505
10036,6601589,504,1.519858834
10037,6601862,697,3.419745042
10038,6601595,865,3.156892975
10039,6601158,684,2.671089057
10040,6600427,1095,2.201724279
10041,6600116,320,1.306896512
10042,6601457,1155,2.299731635
10043,7303219,690,4.967519578
10044,7304307,882,4.568769
10045,7301215,957,3.422418238
10046,7300596,645,1.90219991
10047,7300612,1193,4.645671136
10048,7300704,1064,2.546860293
10049,7300955,826,3.644100432
10050,7300521,275,1.921390251
10051,7300515,489,2.220957652
10052,7300483,827,3.40397395
10053,7301064,498,1.535239975
10054,7304312,947,2.007795096
10055,7300004,809,2.904937583
10056,7300868,1040,2.646845803
10057,7302637,225,1.88907211
10058,7302140,467,3.139019269
10059,7305048,476,4.423966153
10060,7302898,689,1.401486865
10061,7302859,400,1.888958305
10062,7301700,895,4.305691731
10063,6706313,443,1.991992069
10064,6704326,772,4.128099393
10065,6711179,622,4.536374124
10066,6702797,747,3.902865783
10067,6700475,1163,3.434751186
10068,6713413,934,4.318524197
10069,6714340,289,3.39926489
10070,6710645,1127,2.139429805
10071,6700402,888,1.417417544
10072,6700846,362,2.23023025
10073,6702159,1048,1.937106781
10074,6711666,291,2.173789804
10075,6701257,437,4.14247249
10076,6706211,945,1.262653376
10077,6705858,528,3.959739097
10078,6701419,687,1.322858457
10079,6703956,729,2.709894532
10080,6709580,564,2.429793309
10081,6703176,1154,4.997995697
10082,6713772,574,1.790357626
10083,17284404,227,2.261941591
10084,17284203,642,4.803600062
10085,17284105,1104,3.865281763
10086,17284302,552,4.116832439
10087,17284397,849,2.43765325
10088,17284211,857,3.098025429
10089,17284094,337,3.830951091
10090,17284409,682,4.780889141
10091,17284139,254,3.834392072
10092,17284403,334,2.111809756
10093,17284145,749,3.100673608
10094,17284150,265,2.064202603
10095,17284158,973,2.015758906
10096,17284175,327,4.163188652
10097,17284179,1000,3.877357538
10098,17284197,719,2.750943709
10099,17284241,1020,2.115005939
10100,17284390,455,1.874521196
10101,17284279,948,4.441377162
10102,17284364,785,3.066748117
10103,16611114,989,3.415432145
10104,17293281,500,1.691063367
10105,17293301,357,2.269970939
10106,17293409,400,3.718186365
10107,17293163,711,4.714832121
10108,17293228,755,3.447237449
10109,17293880,855,2.116002022
10110,17293169,1189,3.736881508
10111,17293186,941,2.745240823
10112,17293180,957,1.895021278
10113,17293205,362,4.244255319
10114,17293229,1170,2.54835123
10115,17293897,408,4.331876788
10116,17293273,256,3.576338089
10117,17293870,1122,4.768523241
10118,17293877,357,1.519567646
10119,17293890,919,2.964483953
10120,17293915,723,2.814894512
10121,17293422,962,3.841808668
10122,17293873,1140,4.627776781
10123,17294014,646,2.256058022
10124,17294556,983,2.383335458
10125,17294607,321,4.628926405
10126,17294279,798,2.770808668
10127,17294300,680,1.81107685
10128,17295215,364,2.919874877
10129,17295028,636,4.281337864
10130,17294642,873,3.377150884
10131,17295109,256,1.285543573
10132,17294441,278,4.789170248
10133,17294552,911,1.778488663
10134,17294565,303,1.850894026
10135,17294623,985,2.954514002
10136,17294712,1186,3.898304845
10137,17295033,470,4.924789911
10138,17295069,592,3.53990793
10139,17294261,663,1.694130204
10140,17295115,496,4.150611999
10141,17294836,310,4.309470809
10142,17294850,931,2.25582765
10143,17294883,801,3.176630814
10144,16608864,935,2.764493768
10145,16604911,742,3.580321715
10146,17303465,304,2.684442425
10147,17303642,1130,3.133050318
10148,17303670,478,2.995122572
10149,17303545,483,2.576234473
10150,17303655,411,1.194971493
10151,17304691,557,3.26420419
10152,17303478,511,3.224029622
10153,17303480,385,4.752943444
10154,17304733,847,4.32844502
10155,17303646,542,2.071146731
10156,17304929,367,3.546829488
10157,17303684,1047,2.879343088
10158,17303772,1153,4.328068761
10159,17305123,724,3.393724775
10160,17303787,710,1.613964859
10161,17303990,480,1.9288328
10162,17304741,553,4.283033326
10163,17304726,1177,4.7380535
10164,17304486,896,1.474508645
10165,17304533,1150,1.119333886
10166,17316233,659,4.858679219
10167,17315883,812,2.141130937
10168,17315995,547,3.832799086
10169,17316018,368,4.348445002
10170,17316038,785,1.612320531
10171,17316771,462,4.966119633
10172,17316201,507,2.520405444
10173,17316208,518,3.262212696
10174,17316389,951,3.501558144
10175,17316278,480,2.236542859
10176,17316744,979,1.611733632
10177,17316751,1015,3.197674785
10178,17316766,798,4.676396183
10179,17316743,678,1.340695819
10180,17316374,397,2.223015773
10181,17316381,490,2.226136174
10182,17316802,985,1.059119741
10183,17316416,452,3.063014617
10184,17316449,801,2.539053875
10185,17316603,757,2.897473514
10186,16659169,1112,2.401119956
10187,17558684,1009,3.918892479
10188,18366580,992,1.989610049
10189,17330755,880,3.246509785
10190,17330611,972,2.046546797
10191,17330609,794,2.383397516
10192,17330024,869,1.48615656
10193,17330074,575,3.905673346
10194,17330185,334,4.208550539
10195,17330397,594,2.929049317
10196,17330735,430,3.905484079
10197,17330676,255,1.63286115
10198,17330048,959,4.382053963
10199,17330604,364,1.214637253
10200,17330087,773,3.753262854
10050,17316278,275,1.921390251
10051,17316744,489,2.220957652
10052,17316751,827,3.40397395
10053,17316766,498,1.535239975
10054,17316743,947,2.007795096
10055,17316374,809,2.904937583
10056,17316381,1040,2.646845803
10057,17316802,225,1.88907211
10058,17316416,467,3.139019269
10059,17316449,476,4.423966153
10060,17316603,689,1.401486865
10061,16659169,400,1.888958305
10062,17558684,895,4.305691731
10063,18366580,443,1.991992069
10064,17330755,772,4.128099393
10065,17330611,622,4.536374124
10066,17330609,747,3.902865783
10067,17330024,1163,3.434751186
10068,17330074,934,4.318524197
10069,17330185,289,3.39926489
10070,17330397,1127,2.139429805
10071,17330735,888,1.417417544
10072,17330676,362,2.23023025
10073,17330048,1048,1.937106781
10074,17330604,291,2.173789804
